corrnug,data_code,m,order_fun,neighbor_fun
FALSE,bang_As_Fe,20,order_completely_random,nearest_multi_any
TRUE,bang_As_Fe,20,order_completely_random,nearest_multi_any
FALSE,bang_As_Mn,20,order_completely_random,nearest_multi_any
TRUE,bang_As_Mn,20,order_completely_random,nearest_multi_any
FALSE,bang_As_P,20,order_completely_random,nearest_multi_any
TRUE,bang_As_P,20,order_completely_random,nearest_multi_any
FALSE,bang_Fe_Mn,20,order_completely_random,nearest_multi_any
TRUE,bang_Fe_Mn,20,order_completely_random,nearest_multi_any
FALSE,bang_Fe_P,20,order_completely_random,nearest_multi_any
TRUE,bang_Fe_P,20,order_completely_random,nearest_multi_any
FALSE,bang_Mn_P,20,order_completely_random,nearest_multi_any
TRUE,bang_Mn_P,20,order_completely_random,nearest_multi_any
